Detector,Descriptor,img1_2,img2_3,img3_4,img4_5,img5_6,img6_7,img7_8,img8_9,img9_10,average
SHITOMASHI,BRISK, 95, 88, 80, 90, 82, 79, 85, 86, 82, 85
SHITOMASHI,BRIEF, 115, 111, 104, 101, 102, 102, 100, 109, 100, 104
SHITOMASHI,ORB, 106, 102, 99, 102, 103, 97, 98, 104, 97, 100
SHITOMASHI,FREAK, 86, 90, 86, 88, 86, 80, 81, 86, 85, 85
SHITOMASHI,SIFT, 96, 86, 83, 91, 86, 81, 87, 92, 86, 87
HARRIS,BRISK, 12, 10, 14, 15, 16, 16, 15, 23, 21, 15
HARRIS,BRIEF, 14, 11, 15, 20, 24, 26, 16, 24, 23, 19
HARRIS,ORB, 12, 12, 15, 18, 24, 20, 15, 24, 22, 18
HARRIS,FREAK, 13, 13, 15, 15, 17, 20, 12, 21, 18, 16
HARRIS,SIFT, 15, 12, 15, 18, 22, 28, 15, 21, 20, 18
FAST,BRISK, 256, 243, 241, 239, 215, 251, 248, 243, 247, 242
FAST,BRIEF, 320, 332, 299, 331, 276, 327, 324, 315, 307, 314
FAST,ORB, 307, 308, 298, 321, 283, 315, 323, 302, 311, 307
FAST,FREAK, 251, 247, 233, 255, 231, 265, 251, 253, 247, 248
FAST,SIFT, 257, 246, 237, 236, 232, 251, 259, 252, 255, 247
BRISK,BRISK, 151, 163, 146, 173, 150, 162, 182, 183, 161, 163
BRISK,BRIEF, 178, 205, 185, 179, 183, 195, 207, 189, 183, 189
BRISK,ORB, 169, 199, 175, 187, 179, 185, 200, 203, 178, 186
BRISK,FREAK, 144, 162, 147, 170, 148, 172, 173, 178, 166, 162
BRISK,SIFT, 137, 151, 145, 146, 144, 151, 156, 165, 166, 151
ORB,BRISK, 48, 46, 57, 61, 56, 68, 64, 80, 73, 61
ORB,BRIEF, 49, 43, 45, 59, 53, 78, 68, 84, 66, 60
ORB,ORB, 49, 46, 58, 58, 52, 75, 67, 83, 74, 62
ORB,FREAK, 42, 43, 52, 52, 58, 63, 58, 75, 69, 56
ORB,SIFT, 51, 49, 51, 48, 50, 68, 65, 74, 54, 56
AKAZE,BRISK, 135, 121, 128, 126, 126, 133, 137, 144, 143, 132
AKAZE,BRIEF, 141, 134, 131, 130, 134, 146, 150, 148, 152, 140
AKAZE,ORB, 139, 134, 132, 124, 139, 141, 144, 157, 150, 140
AKAZE,FREAK, 126, 126, 130, 117, 126, 128, 147, 146, 133, 131
AKAZE,SIFT, 130, 116, 102, 109, 111, 125, 122, 133, 134, 120
SIFT,BRISK, 62, 62, 63, 63, 56, 60, 60, 66, 71, 62
SIFT,BRIEF, 86, 78, 76, 85, 69, 74, 76, 70, 88, 78
SIFT,ORB, 81, 76, 76, 77, 68, 66, 72, 78, 87, 75
SIFT,FREAK, 65, 70, 64, 64, 61, 60, 63, 66, 76, 65
SIFT,SIFT, 75, 72, 65, 75, 59, 64, 64, 69, 81, 69
