Detector,Descriptor,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,average
SHITOMASI,BRISK, 429.249, 411.451, 410.711, 410.002, 412.661, 412.713, 410.752, 411.407, 408.863, 410.348,412.8157
SHITOMASI,BRIEF, 25.4915, 25.2879, 21.6982, 20.7273, 20.6854, 20.3472, 18.5649, 18.086, 18.7172, 18.4712,20.80768
SHITOMASI,ORB, 25.3623, 24.8317, 21.0521, 22.7823, 18.4365, 17.4281, 18.3839, 19.2689, 19.9418, 19.5088,20.69964
SHITOMASI,FREAK, 78.9602, 70.5807, 71.904, 65.0975, 61.2808, 61.819, 65.2785, 61.1071, 61.4989, 60.899,65.84257
SHITOMASI,SIFT, 50.3199, 27.388, 35.0905, 27.4553, 27.5299, 25.0719, 26.1175, 27.1638, 26.5759, 28.1091,30.08218
HARRIS,BRISK, 418.923, 412.557, 422.676, 416.643, 414.873, 428.693, 412.896, 413.566, 409.967, 414.17,416.4964
HARRIS,BRIEF, 24.6198, 26.2288, 26.737, 21.8573, 19.6834, 37.4484, 20.029, 22.3136, 21.3089, 27.378,24.76042
HARRIS,ORB, 23.7315, 24.6524, 27.4426, 20.544, 20.5151, 35.3028, 20.0704, 23.782, 20.1983, 25.8701,24.21092
HARRIS,FREAK, 80.0397, 68.2799, 68.1329, 62.5653, 62.454, 79.8033, 61.0707, 64.13, 62.4591, 69.2439,67.81788
HARRIS,SIFT, 52.1648, 27.7806, 49.3237, 41.4323, 38.8554, 57.2762, 40.3608, 42.4722, 39.9622, 43.9743,43.36025
FAST,BRISK, 400.747, 397.049, 399.054, 396.502, 400.675, 409.453, 409.616, 409.596, 403.509, 401.888,402.8089
FAST,BRIEF, 6.95704, 4.85075, 7.54657, 3.66402, 3.38571, 4.03847, 5.10191, 5.01431, 6.06271, 4.21615,5.083764
FAST,ORB, 4.79235, 4.16272, 5.5012, 5.18152, 4.007, 4.5727, 3.52982, 4.66819, 4.09162, 3.49446,4.400158
FAST,FREAK, 67.8727, 66.86, 62.5918, 53.9831, 54.988, 54.5222, 57.9695, 53.6771, 55.0422, 54.0725,58.15791
FAST,SIFT, 32.5281, 31.786, 30.961, 28.255, 26.9632, 27.3587, 29.1795, 23.2986, 26.6106, 26.3587,28.32994
BRISK,BRISK, 834.935, 835.356, 838.947, 842.453, 828.234, 842.192, 825.027, 823.541, 830.236, 824.667,832.5588
BRISK,BRIEF, 444.38, 438.856, 503.327, 436.945, 441.422, 434.788, 435.291, 436.001, 435.193, 434.061,444.0264
BRISK,ORB, 451.692, 444.159, 443.805, 463.384, 513.971, 445.966, 439.512, 450.334, 800.664, 454.848,490.8335
BRISK,FREAK, 515.002, 493.928, 503.448, 493.554, 491.896, 491.452, 503.917, 515.22, 495.603, 490.935,499.4955
BRISK,SIFT, 467.106, 461.941, 493.756, 464.523, 474.781, 468.725, 461.317, 461.84, 464.999, 465.606,468.4594
ORB,BRISK, 406.778, 414.492, 403.209, 397.189, 397.296, 397.684, 397.646, 397.951, 398.852, 397.299,400.8396
ORB,BRIEF, 14.8526, 9.32098, 9.29296, 8.3476, 10.9527, 8.07737, 8.14043, 10.0598, 8.77359, 8.12596,9.594399
ORB,ORB, 14.9193, 9.6707, 18.219, 8.51252, 9.45553, 9.9809, 8.85447, 8.74161, 9.62744, 9.94667,10.79281
ORB,FREAK, 71.3416, 63.8676, 63.8364, 55.6711, 57.2981, 57.3273, 58.6462, 55.4738, 56.3212, 55.516,59.52993
ORB,SIFT, 44.1388, 25.3957, 39.8109, 29.4496, 36.1701, 32.3001, 29.4457, 31.8871, 31.4437, 31.4515,33.14932
AKAZE,BRISK, 514.947, 510.211, 519.925, 509.678, 510.904, 509.673, 504.397, 504.588, 510.593, 505.534,510.045
AKAZE,BRIEF, 135.389, 122.247, 132.527, 119.95, 120.621, 117.596, 118.477, 121.884, 122.743, 119.229,123.0663
AKAZE,ORB, 127.81, 121.539, 120.362, 117.384, 119.716, 115.972, 114.892, 117.448, 120.14, 119.202,119.4465
AKAZE,FREAK, 175.038, 166.497, 172.051, 164.255, 168.316, 172.735, 188.746, 218.992, 175.389, 184.511,178.653
AKAZE,SIFT, 141.608, 119.599, 137.94, 130.55, 131.137, 128.557, 133.612, 131.756, 131.454, 129.152,131.5365
SIFT,BRISK, 577.13, 522.901, 561.022, 552.874, 555.561, 641.788, 547.363, 753.237, 710.331, 558.585,598.0792
SIFT,BRIEF, 181.872, 163.988, 168.263, 159.219, 159.009, 160.588, 160.758, 161.003, 160.501, 161.857,163.7058
SIFT,ORB, 184.362, 163.216, 169.807, 159.353, 158.849, 161.142, 168.621, 162.808, 161.087, 166.457,165.5702
SIFT,FREAK, 233.367, 206.892, 221.615, 213.105, 206.064, 212.854, 220.352, 215.668, 209.439, 220.903,216.0259
SIFT,SIFT, 191.658, 169.129, 179.065, 171.871, 170.031, 171.456, 175.181, 176.646, 170.515, 186.57,176.2122
